rank,ppm,es,lm,en
662,142,lamento,lamentolamentar,lament
663,142,muchacho,muchacho,young guy
664,142,avión,avión,airplane
665,142,ropa,ropa,clothing
666,142,fuerza,fuerzaforzar,strength
667,141,llamado,llamadollamar,called
668,141,oído,oídooír,ear
669,141,dado,dadodar,given
670,141,encima,encima,over
671,141,negro,negro,black
672,140,usar,usar,use
673,140,información,información,information
674,140,uds,ustedes,You
675,139,preguntas,preguntarpregunta,questions
676,139,tuvo,tener,He had
677,139,secreto,secreto,secret
678,139,vuelve,volver,Come back
679,139,miren,mirar,Look
680,139,quieras,querer,You want
681,139,haría,hacer,would do
682,139,acaba,acabar,just
683,138,otras,otro,others
684,138,incluso,incluso,even
685,138,sientes,sentirsentar,you feel
686,138,deberíamos,deber,we should
687,137,haz,hacerhaz,make
688,137,decirte,decir,tell you
689,137,boca,boca,mouth
690,136,dolor,dolor,pain
691,136,baño,bañobañar,bath
692,136,adentro,adentro,indoors
693,136,profesor,profesor,professor
694,135,habitación,habitación,room
695,135,daño,dañodañar,damage
696,135,tuyo,tuyo,yours
697,135,seas,ser,You are
698,135,noticias,noticia,news
699,134,demás,demás,the rest
700,134,querido,queridoquerer,Dear
701,134,duro,durodurar,Lasted
702,134,poner,poner,put
703,134,prueba,pruebaprobar,Test
704,133,mire,mirar,Look
705,133,tonto,tonto,fool
706,133,campo,campocampar,countryside
707,133,siendo,ser,being
708,133,diez,diez,ten
709,132,ése,ese,that
710,131,tranquilo,tranquilo,calm
711,131,asunto,asunto,affair
712,131,acabó,acabar,just
713,131,quédate,quedar,stay
714,131,derecho,derecho,law
715,131,placer,placer,pleasure
716,131,recuerda,recordar,remember
717,131,estuve,estar,was
718,131,tratando,tratar,trying
719,131,ejército,ejército,army
720,131,futuro,futuro,future
721,130,llevar,llevar,wear
722,130,compañía,compañía,company
723,130,venido,venir,I come
724,130,listos,listo,Ready
725,129,haremos,hacer,will
726,129,sitio,sitio,place
727,129,verlo,ver,see him
728,129,puesto,puestoponer,Market Stall
729,129,atención,atención,attention
730,128,sino,sino,otherwise
731,128,cambiar,cambiar,change
732,128,error,error,mistake
733,127,blanco,blanco,white
734,127,raro,raro,rare
735,127,palabras,palabra,words
736,127,llegó,llegar,I arrive
737,127,sal,salsalir,Salt
738,127,pase,pasar,happens
739,127,mente,mente,mind
740,126,sistema,sistema,system
741,126,película,película,movie
742,126,anda,andar,walk
743,126,ello,ello,it
744,126,negocio,negocionegociar,business
745,126,novia,novia,girlfriend
746,125,permiso,permiso,permission
747,125,creí,creer,I believed
748,125,suena,sonar,sounds
749,125,ocurre,ocurrir,occurs
750,125,oficial,oficial,official
751,125,espere,esperar,Wait
752,125,aire,aire,air
753,124,mató,matar,killed
754,124,regresar,regresar,to return
755,124,vio,ver,he saw
756,123,hazlo,hacer,do it
757,122,trasero,trasero,rear
758,122,grupo,grupo,cluster
759,122,entendido,entender,it is understood
760,122,señorita,señorita,Miss
761,122,música,música,music
762,122,perra,perra,bitch
763,121,conoce,conocer,known
764,121,empezar,empezar,start
765,121,siente,sentirsentar,Feel
766,120,acabo,acabar,finished
767,120,estúpido,estúpido,idiot
768,120,diferente,diferente,different
769,120,traje,traertraje,costume
770,120,modo,modo,mode
771,119,encontré,encontrar,I found
772,119,mensaje,mensaje,message
773,119,llamada,llamadallamar,call
774,118,navidad,navidad,Christmas
775,118,eras,ser,ages
776,118,pena,penapenar,grief
777,118,largo,largolargar,length
778,118,entra,entrar,enters
779,118,piso,pisopisar,flat
780,118,foto,foto,Photo
781,118,dijeron,decir,They said
782,117,médico,médico,medical
783,117,accidente,accidente,accident
784,117,fuiste,irser,you were
785,117,imposible,imposible,impossible
786,116,podríamos,poder,we could
787,116,línea,línea,line
788,116,propia,propio,own
789,116,barco,barco,boat
790,116,ganar,ganar,gain
791,115,normal,normal,normal
792,115,segundos,segundo,seconds
793,115,vive,vivir,it lives
794,114,mitad,mitad,half
795,114,quiera,querer,want
796,114,tras,tras,after
797,114,decirle,decir,Tell him
798,114,lindo,lindo,pretty
799,114,funciona,funcionar,works
800,113,programa,programa,Program
801,113,vine,venir,came
802,113,abre,abrir,opens
803,113,sean,ser,Sean
804,113,pagar,pagar,to pay
805,113,fotos,foto,Photos
806,113,centro,centrocentrar,center
807,113,supone,suponer,It supposes
808,112,basura,basura,trash
809,112,situación,situación,situation
810,112,mejores,mejor,top
811,112,vienen,venir,they come
812,112,encanta,encantar,loves
813,112,marido,marido,husband
814,111,personal,personal,staff
815,111,maestro,maestro,teacher
816,111,hambre,hambre,hunger
817,111,ataque,ataqueatacar,attack
818,111,culo,culo,ass
819,111,dale,dar,Go ahead
820,111,pie,pie,foot
821,111,conseguir,conseguir,get
822,111,trabajando,trabajar,working
823,111,gracioso,gracioso,funny
824,111,dejó,dejar,let
825,110,pudo,poder,could
826,110,derecha,derecha,right
827,110,izquierda,izquierda,left
828,110,próxima,próximo,next
829,110,pobre,pobre,poor
830,109,respuesta,respuesta,response
831,109,tipos,tipo,types
832,109,sentir,sentir,feel
833,109,tenías,tener,You had
834,109,pude,poder,I could
835,109,darle,dar,give him
836,109,voz,voz,voice
837,109,amiga,amiga,friend
838,109,gustan,gustar,like
839,109,vista,vistaver,view
840,109,salvo,salvosalvar,except
841,108,loca,loco,crazy
842,108,hotel,hotel,hotel
843,108,hicieron,hacer,they made
844,108,ten,tener,Ten
845,108,temo,temer,I fear
846,108,señal,señal,sign
847,108,pelo,pelopelar,hair
848,108,llevo,llevar,wear
849,108,ayer,ayer,Yesterday
850,108,das,dar,you give
851,108,nena,nena,chick
852,108,servicio,servicio,service
853,107,tren,tren,train
854,107,bonito,bonito,nice
855,107,mes,mes,month
856,107,tendrá,tener,will have
857,107,tendrás,tener,you will have
858,107,edad,edad,age
859,107,ellas,ellas,they
860,107,hermosa,hermoso,beautifull
861,106,honor,honor,honor
862,106,simplemente,simplemente,simply
863,105,llamas,llamarllama,calls
864,105,tengas,tener,Have
865,105,corre,correr,runs
866,105,baja,bajobaja,short
867,105,sol,sol,sun
868,105,siéntate,sentar,Sit down
869,105,dan,dar,give
870,105,humano,humano,human
871,105,divertido,divertidodivertir,funny
872,104,sexo,sexo,sex
873,104,vuelto,vueltovolver,turned
874,104,peligro,peligropeligrar,danger
875,104,mesa,mesa,table
876,104,siguiente,siguiente,Next
877,104,hablo,hablar,talked
878,104,disculpa,disculpadisculpar,Sorry
879,104,decirme,decir,Tell me
880,103,caja,caja,cash register
881,103,negocios,negocionegociar,business
882,103,misión,misión,mission
883,103,silencio,silencio,silence
884,103,sale,salir,comes out
885,103,llegado,llegar,arrived
886,102,estaría,estar,It would
887,102,regreso,regresoregresar,Return
888,102,media,mediamedio,half
889,101,estan,estar,are
890,101,propio,propio,own self
891,101,oro,oroorar,Prayed
892,101,enseguida,enseguida,right away
893,100,linda,lindo,pretty
894,100,prometo,prometer,I promise
895,100,esposo,esposoesposar,husband
896,99,norte,norte,north
897,99,hubo,haber,there was
898,99,juro,jurar,I swear
899,99,muerta,muertomorir,dead
900,99,interesante,interesante,interesting
901,99,pensaba,pensar,thought
902,99,busca,buscarbusca,search
903,99,terminar,terminar,end up
904,98,tendré,tener,I will have
905,98,completamente,completamente,completely
906,98,cita,citacitar,date
907,98,siete,siete,seven
908,98,cumpleaños,cumpleaños,birthday
909,98,abogado,abogado,attorney
910,98,alrededor,alrededor,around
911,98,cerebro,cerebro,brain
912,97,porqué,porqué,because
913,97,llave,llave,wrench
914,97,santo,santo,holy
915,97,hermoso,hermoso,handsome
916,97,necesario,necesario,necessary
917,97,edificio,edificio,building
918,97,irnos,ir,Go
919,97,aun,aun,still
920,97,tendremos,tener,we will have
921,97,vayas,ir,go
922,96,doy,dar,give
923,96,trae,traer,Bring
924,96,salió,salir,he left
925,96,ley,ley,law
926,96,ahi,ahí,over there
927,96,verdadero,verdadero,real
928,96,pelea,peleapelear,Fight
929,96,banco,banco,bank
930,95,terrible,terrible,terrible
931,95,calma,calmacalmar,Calm down
932,95,cena,cenacenar,Dinner
933,95,daré,dar,I will give
934,95,gobierno,gobierno,government
935,95,comprar,comprar,to buy
936,94,creen,creercrear,They believe
937,94,sargento,sargento,sergeant
938,94,destino,destino,destiny
939,94,existe,existir,exists
940,94,hacía,hacer,towards
941,93,novio,novio,boyfriend
942,93,sala,sala,living room
943,93,través,través,through
944,93,regalo,regaloregalar,gift
945,92,iglesia,iglesia,church
946,92,decía,decir,He said
947,92,cualquiera,cualquiera,any
948,92,excelente,excelente,Excellent
949,92,esperen,esperar,Wait
950,92,deseo,deseodesear,desire
951,92,alma,alma,soul
952,92,diablo,diablo,Devil
953,92,deje,dejar,leave
954,92,cuántos,cuántos,many
955,92,espada,espada,sword
956,92,estábamos,estar,We were
957,92,carne,carne,meat
958,92,maravilloso,maravilloso,wonderful
959,91,vidas,vida,lives
960,91,sucedió,suceder,happened
961,91,oí,oír,I heard
962,91,peligroso,peligroso,dangerous
963,91,dirección,dirección,address
964,91,libertad,libertad,freedom
965,91,jesús,Jesús,Jesus
966,91,ocurrió,ocurrir,It occurred
967,91,veré,ver,I will see
968,91,sueños,sueño,dreams
969,91,pudiera,poder,could
970,90,detective,detective,detective
971,90,sorpresa,sorpresa,surprise
